Id,SalePrice
1461,136434.8067340692
1462,178467.32915153287
1463,186598.23416348282
1464,190509.19597421476
1465,187774.81056750574
1466,165133.17991911102
1467,170098.15704247676
1468,157259.50958421445
1469,181430.64189131025
1470,125204.12986075539
1471,187129.84481464012
1472,114397.50363928964
1473,107376.38392477247
1474,150802.48036415785
1475,131092.987763874
1476,423056.43592557125
1477,254166.95993368686
1478,339801.67167259456
1479,289462.25769343314
1480,450438.2557047291
1481,300959.1230630767
1482,194633.44595296352
1483,158526.48096321843
1484,151155.395611708
1485,169077.24037881088
1486,191391.7349410332
1487,336223.9949097063
1488,248400.95552430855
1489,198896.2561228262
1490,205527.78204848105
1491,182943.30851848272
1492,87696.46267101461
1493,190030.3979788375
1494,303035.5911939058
1495,277511.45524808776
1496,234539.8419010473
1497,187297.17452135007
1498,172400.1228927396
1499,169986.47930983745
1500,158569.29045561422
1501,167849.58315883976
1502,168782.35092994463
1503,303823.2952235951
1504,249607.42711955
1505,229772.73273224087
1506,168270.87688912256
1507,223371.2000488223
1508,201647.56578477178
1509,151784.37203753807
1510,144263.5885516798
1511,139535.17830957763
1512,148329.98863259013
1513,141353.0264616551
1514,167890.5011425479
1515,226983.2388972633
1516,170025.92784565018
1517,169949.22136805294
1518,140680.99855439898
1519,228922.45783096913
1520,133454.50759895283
1521,137602.5474584143
1522,178958.05927253645
1523,101757.66938281528
1524,125680.55904052536
1525,113816.75594090982
1526,129637.48278771673
1527,112142.00733283356
1528,147863.05196055197
1529,145927.15831784956
1530,185084.60996577365
1531,108207.25659760888
1532,108018.5517740424
1533,155044.85713675918
1534,110135.44126992983
1535,169073.59411081826
1536,106770.77021870563
1537,92681.23705677077
1538,163632.7759060365
1539,226295.4868534525
1540,106250.36859972739
1541,146638.36181392113
1542,139005.82845856115
1543,213442.72436477817
1544,83202.93921354464
1545,91169.85175127271
1546,132094.76376461124
1547,137927.48673282735
1548,139736.86746726252
1549,106311.64330226611
1550,129333.01831043806
1551,122209.54991202519
1552,128645.96295528255
1553,153124.50644251925
1554,108671.95650427452
1555,187064.5325238792
1556,84289.51024936265
1557,114210.03727211783
1558,98353.53779127833
1559,99421.32290083189
1560,151873.2333425394
1561,144311.48071530246
1562,137438.4077696938
1563,135433.32297122007
1564,142688.61956709457
1565,151230.63064013177
1566,238825.78215805927
1567,73273.02688381905
1568,224862.50828475456
1569,146651.39661252612
1570,126213.1663212621
1571,125344.68598750477
1572,143899.2169490033
1573,222636.0878851739
1574,111666.7391526611
1575,223663.47391091278
1576,265252.0081321401
1577,175258.17223391746
1578,148574.33861400242
1579,141530.70866112312
1580,190249.25182057856
1581,168148.09858010258
1582,120179.11816384012
1583,314150.72728937765
1584,220245.9131601856
1585,146879.0789621152
1586,76405.56807555049
1587,89892.01909763465
1588,139959.83791029136
1589,82613.9214390266
1590,133350.09477843705
1591,93554.5110296491
1592,113739.65756754251
1593,131759.06341614784
1594,137417.78532175356
1595,123198.01049285717
1596,207900.27199296752
1597,191013.2035075241
1598,187025.877001416
1599,196895.89309467055
1600,171905.0977239184
1601,82248.1137407813
1602,110715.82668975134
1603,96692.94767275744
1604,263954.11044962995
1605,249737.4018864158
1606,174080.11987734877
1607,167084.89312592227
1608,203976.705150018
1609,160266.0819305186
1610,134087.89506592578
1611,148938.16168739894
1612,153929.7937195358
1613,166652.10468142256
1614,134870.90552547027
1615,100075.37685396482
1616,85060.00688800724
1617,100765.15403496448
1618,130217.82134506435
1619,166542.37961206993
1620,170713.67355770787
1621,140560.01588917364
1622,136126.8433754727
1623,252665.55259340862
1624,217979.76986900697
1625,135567.80062735724
1626,169153.79734179968
1627,192302.8681425872
